FID,OBJECTID,Texto,Poblacion,CodMun,Municipio,CodProvin,Provincia,X,Y
0,1,Agüimes,29431.0,35002,Agüimes,35,Las Palmas,-15.446012264,27.9005418852
1,2,Antigua,10458.0,35003,Antigua,35,Las Palmas,-14.01330083,28.4189662242
2,3,Arrecife,58156.0,35004,Arrecife,35,Las Palmas,-13.551451235,28.9606494152
3,4,Arucas,36745.0,35006,Arucas,35,Las Palmas,-15.521511534,28.1174962002
4,5,Gáldar,24473.0,35009,Gáldar,35,Las Palmas,-15.654110983,28.1438727542
5,6,Ingenio,29640.0,35011,Ingenio,35,Las Palmas,-15.442260778,27.9187808332
6,7,Mogán,22638.0,35012,Mogán,35,Las Palmas,-15.726228551,27.8801723362
7,8,La Oliva,22351.0,35014,La Oliva,35,Las Palmas,-13.927339943,28.6083215272
8,9,Pájara,20622.0,35015,Pájara,35,Las Palmas,-14.105631245,28.3497515302
9,10,Las Palmas de Gran Canaria,383308.0,35016,Las Palmas de Gran Canaria,35,Las Palmas,-15.413387495,28.0997746482
10,11,Puerto del Rosario,35702.0,35017,Puerto del Rosario,35,Las Palmas,-13.859174724,28.4979657492
11,12,San Bartolomé,18161.0,35018,San Bartolomé,35,Las Palmas,-13.6119466,29.0002824642
12,13,Santa Brígida,19135.0,35021,Santa Brígida,35,Las Palmas,-15.498250785,28.0323135822
13,14,Santa Lucía de Tirajana,64845.0,35022,Santa Lucía de Tirajana,35,Las Palmas,-15.54040897,27.9118409352
14,15,Santa María de Guía de Gran Canaria,14200.0,35023,Santa María de Guía de Gran Canaria,35,Las Palmas,-15.630871884,28.1387190842
15,16,Teguise,20105.0,35024,Teguise,35,Las Palmas,-13.558129951,29.0583384432
16,17,Telde,100900.0,35026,Telde,35,Las Palmas,-15.416665506,27.9942018032
17,18,Teror,12944.0,35027,Teror,35,Las Palmas,-15.545912844,28.0584371702
18,19,Tías,19869.0,35028,Tías,35,Las Palmas,-13.650051808,28.9536430882
19,20,Tuineje,13536.0,35030,Tuineje,35,Las Palmas,-14.047639122,28.3243834992
20,21,Yaiza,14242.0,35034,Yaiza,35,Las Palmas,-13.770753943,28.9524291852
21,22,Adeje,43801.0,38001,Adeje,38,Santa Cruz de Tenerife,-16.729707876,28.1188804472
